Year,Month,Day,Hour,Minute,Second,HYY_META.PAR2
2016,01,01,00,00,00,-0.15765
2016,01,01,00,30,00,-0.52059
2016,01,01,01,00,00,-0.18529
2016,01,01,01,30,00,-0.03722
2016,01,01,02,00,00,0.00333
2016,01,01,02,30,00,-0.82043
2016,01,01,03,00,00,-0.99167
2016,01,01,03,30,00,-0.4828
2016,01,01,04,00,00,-0.89333
2016,01,01,04,30,00,-0.5948
2016,01,01,05,00,00,-1.03609
2016,01,01,05,30,00,-0.1696
2016,01,01,06,00,00,-0.30083
2016,01,01,06,30,00,-1.46095
2016,01,01,07,00,00,-1.18269
2016,01,01,07,30,00,-1.47333
2016,01,01,08,00,00,0.37158
2016,01,01,08,30,00,-1.04269
2016,01,01,09,00,00,-0.90381
2016,01,01,09,30,00,3.8819
2016,01,01,10,00,00,7.62533
2016,01,01,10,30,00,16.468
2016,01,01,11,00,00,25.14033
2016,01,01,11,30,00,28.38
2016,01,01,12,00,00,36.237
2016,01,01,12,30,00,31.83867
2016,01,01,13,00,00,23.80633
2016,01,01,13,30,00,22.06759
2016,01,01,14,00,00,15.47867
2016,01,01,14,30,00,9.79367
2016,01,01,15,00,00,1.33471
2016,01,01,15,30,00,-0.1155
2016,01,01,16,00,00,0.37381
2016,01,01,16,30,00,-1.26524
2016,01,01,17,00,00,0.46048
2016,01,01,17,30,00,0.18286
2016,01,01,18,00,00,0.515
2016,01,01,18,30,00,-0.21667
2016,01,01,19,00,00,0.17389
2016,01,01,19,30,00,-0.084
2016,01,01,20,00,00,0.51375
2016,01,01,20,30,00,-1.27833
2016,01,01,21,00,00,-0.55786
2016,01,01,21,30,00,-0.64
2016,01,01,22,00,00,-1.08278
2016,01,01,22,30,00,-0.53118
2016,01,01,23,00,00,0.332
2016,01,01,23,30,00,-0.57154
2016,01,02,00,00,00,0.42333
2016,01,02,00,30,00,-0.4775
2016,01,02,01,00,00,-0.5315
2016,01,02,01,30,00,0.352
2016,01,02,02,00,00,-1.49857
2016,01,02,02,30,00,1.02909
2016,01,02,03,00,00,-0.23933
2016,01,02,03,30,00,0.30053
2016,01,02,04,00,00,-0.13455
2016,01,02,04,30,00,0.13765
2016,01,02,05,00,00,0.08611
2016,01,02,05,30,00,-0.44882
2016,01,02,06,00,00,-0.39333
2016,01,02,06,30,00,0.02125
2016,01,02,07,00,00,0.16095
2016,01,02,07,30,00,-0.75471
2016,01,02,08,00,00,-0.38647
2016,01,02,08,30,00,0.40091
2016,01,02,09,00,00,0.29688
2016,01,02,09,30,00,8.85286
2016,01,02,10,00,00,30.24333
2016,01,02,10,30,00,59.38733
2016,01,02,11,00,00,79.07
2016,01,02,11,30,00,84.79333
2016,01,02,12,00,00,91.699
2016,01,02,12,30,00,82.97267
2016,01,02,13,00,00,82.651
2016,01,02,13,30,00,79.43
2016,01,02,14,00,00,55.19733
2016,01,02,14,30,00,30.88704
2016,01,02,15,00,00,5.185
2016,01,02,15,30,00,-1.15444
2016,01,02,16,00,00,-0.16632
2016,01,02,16,30,00,-0.70471
2016,01,02,17,00,00,-0.8525
2016,01,02,17,30,00,-0.95571
2016,01,02,18,00,00,0.70348
2016,01,02,18,30,00,-0.7405
2016,01,02,19,00,00,-0.77053
2016,01,02,19,30,00,-0.57048
2016,01,02,20,00,00,-0.19389
2016,01,02,20,30,00,-0.79842
2016,01,02,21,00,00,-0.80043
2016,01,02,21,30,00,-0.41176
2016,01,02,22,00,00,-0.55375
2016,01,02,22,30,00,-0.37722
2016,01,02,23,00,00,0.8135
2016,01,02,23,30,00,0.58417
2016,01,03,00,00,00,0.78105
2016,01,03,00,30,00,-0.11733
2016,01,03,01,00,00,1.36471
2016,01,03,01,30,00,-0.77421
2016,01,03,02,00,00,1.68286
2016,01,03,02,30,00,1.54765
2016,01,03,03,00,00,-0.005
2016,01,03,03,30,00,0.645
2016,01,03,04,00,00,0.93105
2016,01,03,04,30,00,-0.06059
2016,01,03,05,00,00,0.522
2016,01,03,05,30,00,0.815
2016,01,03,06,00,00,0.62737
2016,01,03,06,30,00,-0.15783
2016,01,03,07,00,00,0.04
2016,01,03,07,30,00,-1.01696
2016,01,03,08,00,00,0.03273
2016,01,03,08,30,00,0.45273
2016,01,03,09,00,00,0.573
2016,01,03,09,30,00,2.70727
2016,01,03,10,00,00,4.47767
2016,01,03,10,30,00,8.86267
2016,01,03,11,00,00,12.26633
2016,01,03,11,30,00,18.71367
2016,01,03,12,00,00,28.87
2016,01,03,12,30,00,33.31033
2016,01,03,13,00,00,30.17767
2016,01,03,13,30,00,24.94433
2016,01,03,14,00,00,23.34767
2016,01,03,14,30,00,15.66833
2016,01,03,15,00,00,3.51682
2016,01,03,15,30,00,0.2644
2016,01,03,16,00,00,-0.55478
2016,01,03,16,30,00,-1.11368
2016,01,03,17,00,00,-0.695
2016,01,03,17,30,00,-0.12542
2016,01,03,18,00,00,0.05182
2016,01,03,18,30,00,-0.45783
2016,01,03,19,00,00,0.24391
2016,01,03,19,30,00,0.52143
2016,01,03,20,00,00,1.1219
2016,01,03,20,30,00,0.21895
2016,01,03,21,00,00,0.925
2016,01,03,21,30,00,-0.56421
2016,01,03,22,00,00,-0.4813
2016,01,03,22,30,00,-1.335
2016,01,03,23,00,00,-0.14571
2016,01,03,23,30,00,-0.06437
2016,01,04,00,00,00,-0.42632
2016,01,04,00,30,00,0.946
2016,01,04,01,00,00,1.38133
2016,01,04,01,30,00,-0.67895
2016,01,04,02,00,00,-0.34917
2016,01,04,02,30,00,-1.11526
2016,01,04,03,00,00,-0.96048
2016,01,04,03,30,00,0.963
2016,01,04,04,00,00,0.12176
2016,01,04,04,30,00,0.37895
2016,01,04,05,00,00,-0.56846
2016,01,04,05,30,00,-2.20538
2016,01,04,06,00,00,0.68375
2016,01,04,06,30,00,-0.24714
2016,01,04,07,00,00,-0.14625
2016,01,04,07,30,00,1.19474
2016,01,04,08,00,00,-1.84231
2016,01,04,08,30,00,-0.86083
2016,01,04,09,00,00,1.70688
2016,01,04,09,30,00,13.25833
2016,01,04,10,00,00,29.602
2016,01,04,10,30,00,45.21433
2016,01,04,11,00,00,65.48633
2016,01,04,11,30,00,75.48833
2016,01,04,12,00,00,91.60733
2016,01,04,12,30,00,96.25067
2016,01,04,13,00,00,96.99367
2016,01,04,13,30,00,72.17733
2016,01,04,14,00,00,46.04567
2016,01,04,14,30,00,25.40567
2016,01,04,15,00,00,6.25867
2016,01,04,15,30,00,0.00471
2016,01,04,16,00,00,0.04778
2016,01,04,16,30,00,-1.27625
2016,01,04,17,00,00,0.0615
2016,01,04,17,30,00,0.43687
2016,01,04,18,00,00,1.25909
2016,01,04,18,30,00,-0.30929
2016,01,04,19,00,00,0.3965
2016,01,04,19,30,00,-0.625
2016,01,04,20,00,00,1.19524
2016,01,04,20,30,00,0.0525
2016,01,04,21,00,00,1.12824
2016,01,04,21,30,00,0.079
2016,01,04,22,00,00,1.70682
2016,01,04,22,30,00,1.0925
2016,01,04,23,00,00,1.98318
2016,01,04,23,30,00,1.51636
2016,01,05,00,00,00,-0.74273
2016,01,05,00,30,00,-0.75429
2016,01,05,01,00,00,0.2435
2016,01,05,01,30,00,-0.03154
2016,01,05,02,00,00,-1.79905
2016,01,05,02,30,00,0.0472
2016,01,05,03,00,00,1.166
2016,01,05,03,30,00,-0.49708
2016,01,05,04,00,00,-0.98808
2016,01,05,04,30,00,0.31038
2016,01,05,05,00,00,0.15091
2016,01,05,05,30,00,0.34929
2016,01,05,06,00,00,0.29304
2016,01,05,06,30,00,-0.71043
2016,01,05,07,00,00,-0.75231
2016,01,05,07,30,00,-0.5136
2016,01,05,08,00,00,-0.53304
2016,01,05,08,30,00,1.0587
2016,01,05,09,00,00,-0.6565
2016,01,05,09,30,00,8.70733
2016,01,05,10,00,00,25.20467
2016,01,05,10,30,00,48.44433
2016,01,05,11,00,00,70.787
2016,01,05,11,30,00,89.592
2016,01,05,12,00,00,89.00667
2016,01,05,12,30,00,88.169
2016,01,05,13,00,00,89.492
2016,01,05,13,30,00,78.03367
2016,01,05,14,00,00,54.454
2016,01,05,14,30,00,28.197
2016,01,05,15,00,00,7.58778
2016,01,05,15,30,00,-0.45333
2016,01,05,16,00,00,0.8112
2016,01,05,16,30,00,-0.855
2016,01,05,17,00,00,0.49435
2016,01,05,17,30,00,0.7672
2016,01,05,18,00,00,-0.52462
2016,01,05,18,30,00,-0.78423
2016,01,05,19,00,00,0.32923
2016,01,05,19,30,00,0.10125
2016,01,05,20,00,00,0.02962
2016,01,05,20,30,00,0.89036
2016,01,05,21,00,00,0.26536
2016,01,05,21,30,00,0.34036
2016,01,05,22,00,00,0.50333
2016,01,05,22,30,00,1.08667
2016,01,05,23,00,00,0.11069
2016,01,05,23,30,00,-0.51724
2016,01,06,00,00,00,-0.81167
2016,01,06,00,30,00,0.41138
2016,01,06,01,00,00,-0.404
2016,01,06,01,30,00,-0.662
2016,01,06,02,00,00,-1.488
2016,01,06,02,30,00,-0.84241
2016,01,06,03,00,00,0.79567
2016,01,06,03,30,00,-0.50467
2016,01,06,04,00,00,-0.404
2016,01,06,04,30,00,0.43667
2016,01,06,05,00,00,-1.31967
2016,01,06,05,30,00,-1.29767
2016,01,06,06,00,00,-0.08133
2016,01,06,06,30,00,-0.48133
2016,01,06,07,00,00,0.67172
2016,01,06,07,30,00,0.525
2016,01,06,08,00,00,-0.02667
2016,01,06,08,30,00,1.41233
2016,01,06,09,00,00,0.36389
2016,01,06,09,30,00,15.74364
2016,01,06,10,00,00,31.358
2016,01,06,10,30,00,55.55433
2016,01,06,11,00,00,75.96133
2016,01,06,11,30,00,86.58067
2016,01,06,12,00,00,88.30767
2016,01,06,12,30,00,89.85067
2016,01,06,13,00,00,94.51233
2016,01,06,13,30,00,82.00931
2016,01,06,14,00,00,54.75633
2016,01,06,14,30,00,28.977
2016,01,06,15,00,00,9.25417
2016,01,06,15,30,00,0.55417
2016,01,06,16,00,00,-1.02867
2016,01,06,16,30,00,1.064
2016,01,06,17,00,00,-0.85567
2016,01,06,17,30,00,-1.06767
2016,01,06,18,00,00,0.31167
2016,01,06,18,30,00,-0.36533
2016,01,06,19,00,00,-0.33533
2016,01,06,19,30,00,0.29667
2016,01,06,20,00,00,-0.771
2016,01,06,20,30,00,-0.47633
2016,01,06,21,00,00,-0.129
2016,01,06,21,30,00,-0.308
2016,01,06,22,00,00,-0.31367
2016,01,06,22,30,00,-0.57733
2016,01,06,23,00,00,-0.285
2016,01,06,23,30,00,0.49467
2016,01,07,00,00,00,-0.33333
2016,01,07,00,30,00,0.18233
2016,01,07,01,00,00,-0.36533
2016,01,07,01,30,00,0.16567
2016,01,07,02,00,00,-0.16367
2016,01,07,02,30,00,-0.47133
2016,01,07,03,00,00,-0.71767
2016,01,07,03,30,00,0.94167
2016,01,07,04,00,00,0.62133
2016,01,07,04,30,00,-0.01967
2016,01,07,05,00,00,-0.21733
2016,01,07,05,30,00,0.30621
2016,01,07,06,00,00,0.69517
2016,01,07,06,30,00,0.30433
2016,01,07,07,00,00,0.123
2016,01,07,07,30,00,-0.39033
2016,01,07,08,00,00,0.73
2016,01,07,08,30,00,-0.24367
2016,01,07,09,00,00,-0.99211
2016,01,07,09,30,00,15.97167
2016,01,07,10,00,00,31.427
2016,01,07,10,30,00,56.874
2016,01,07,11,00,00,75.737
2016,01,07,11,30,00,88.121
2016,01,07,12,00,00,90.47367
2016,01,07,12,30,00,91.89867
2016,01,07,13,00,00,95.87467
2016,01,07,13,30,00,78.44067
2016,01,07,14,00,00,51.633
2016,01,07,14,30,00,28.501
2016,01,07,15,00,00,12.08462
2016,01,07,15,30,00,-0.4619
2016,01,07,16,00,00,-0.57367
2016,01,07,16,30,00,0.528
2016,01,07,17,00,00,0.056
2016,01,07,17,30,00,-1.07667
2016,01,07,18,00,00,0.34633
2016,01,07,18,30,00,-0.34367
2016,01,07,19,00,00,1.20067
2016,01,07,19,30,00,0.64433
2016,01,07,20,00,00,-0.34733
2016,01,07,20,30,00,-0.64267
2016,01,07,21,00,00,-1.12167
2016,01,07,21,30,00,-0.88733
2016,01,07,22,00,00,-1.25467
2016,01,07,22,30,00,-0.83467
2016,01,07,23,00,00,-1.53069
2016,01,07,23,30,00,-0.22833
2016,01,08,00,00,00,-0.26633
2016,01,08,00,30,00,0.66133
2016,01,08,01,00,00,0.34533
2016,01,08,01,30,00,1.18667
2016,01,08,02,00,00,1.381
2016,01,08,02,30,00,-0.11567
2016,01,08,03,00,00,0.11167
2016,01,08,03,30,00,0.92033
2016,01,08,04,00,00,0.53233
2016,01,08,04,30,00,0.599
2016,01,08,05,00,00,0.12621
2016,01,08,05,30,00,0.65433
2016,01,08,06,00,00,0.82233
2016,01,08,06,30,00,0.85267
2016,01,08,07,00,00,-0.63433
2016,01,08,07,30,00,-0.27433
2016,01,08,08,00,00,0.09833
2016,01,08,08,30,00,0.21
2016,01,08,09,00,00,0.63042
2016,01,08,09,30,00,11.602
2016,01,08,10,00,00,26.35633
2016,01,08,10,30,00,46.09733
2016,01,08,11,00,00,54.83333
2016,01,08,11,30,00,64.605
2016,01,08,12,00,00,87.93
2016,01,08,12,30,00,96.22
2016,01,08,13,00,00,100.739
2016,01,08,13,30,00,70.28833
2016,01,08,14,00,00,44.27967
2016,01,08,14,30,00,24.81
2016,01,08,15,00,00,9.74812
2016,01,08,15,30,00,-1.4864
2016,01,08,16,00,00,-0.34067
2016,01,08,16,30,00,0.74667
2016,01,08,17,00,00,-0.58233
2016,01,08,17,30,00,0.40138
2016,01,08,18,00,00,-0.34033
2016,01,08,18,30,00,-1.14214
2016,01,08,19,00,00,-1.12893
2016,01,08,19,30,00,-0.91481
2016,01,08,20,00,00,1.15042
2016,01,08,20,30,00,0.41
2016,01,08,21,00,00,0.51786
2016,01,08,21,30,00,-1.28042
2016,01,08,22,00,00,-1.0175
2016,01,08,22,30,00,-0.99346
2016,01,08,23,00,00,-0.34821
2016,01,08,23,30,00,0.06321
2016,01,09,00,00,00,0.20111
2016,01,09,00,30,00,1.43308
2016,01,09,01,00,00,0.14037
2016,01,09,01,30,00,-0.03667
2016,01,09,02,00,00,-0.39407
2016,01,09,02,30,00,0.31519
2016,01,09,03,00,00,-1.2725
2016,01,09,03,30,00,-0.05423
2016,01,09,04,00,00,0.31917
2016,01,09,04,30,00,-1.56357
2016,01,09,05,00,00,0.33222
2016,01,09,05,30,00,-0.76519
2016,01,09,06,00,00,0.598
2016,01,09,06,30,00,-0.64037
2016,01,09,07,00,00,0.05625
2016,01,09,07,30,00,0.83519
2016,01,09,08,00,00,-0.6112
2016,01,09,08,30,00,-1.06407
2016,01,09,09,00,00,-0.47
2016,01,09,09,30,00,12.29286
2016,01,09,10,00,00,25.78167
2016,01,09,10,30,00,42.454
2016,01,09,11,00,00,64.91267
2016,01,09,11,30,00,89.81533
2016,01,09,12,00,00,90.15379
2016,01,09,12,30,00,103.262
2016,01,09,13,00,00,104.63933
2016,01,09,13,30,00,77.864
2016,01,09,14,00,00,62.78333
2016,01,09,14,30,00,32.771
2016,01,09,15,00,00,13.24556
2016,01,09,15,30,00,-1.23211
2016,01,09,16,00,00,-0.92043
2016,01,09,16,30,00,0.5284
2016,01,09,17,00,00,-0.4896
2016,01,09,17,30,00,-0.11786
2016,01,09,18,00,00,-0.47308
2016,01,09,18,30,00,0.44654
2016,01,09,19,00,00,0.43286
2016,01,09,19,30,00,0.14862
2016,01,09,20,00,00,-0.11967
2016,01,09,20,30,00,0.03926
2016,01,09,21,00,00,1.04207
2016,01,09,21,30,00,0.54926
2016,01,09,22,00,00,-0.35897
2016,01,09,22,30,00,0.76462
2016,01,09,23,00,00,0.669
2016,01,09,23,30,00,1.65321
2016,01,10,00,00,00,-0.14103
2016,01,10,00,30,00,0.03964
2016,01,10,01,00,00,0.44517
2016,01,10,01,30,00,0.28367
2016,01,10,02,00,00,-0.35793
2016,01,10,02,30,00,0.0069
2016,01,10,03,00,00,0.07393
2016,01,10,03,30,00,-0.94933
2016,01,10,04,00,00,-0.43621
2016,01,10,04,30,00,-0.34667
2016,01,10,05,00,00,0.32267
2016,01,10,05,30,00,0.10433
2016,01,10,06,00,00,-0.28567
2016,01,10,06,30,00,0.35967
2016,01,10,07,00,00,0.71233
2016,01,10,07,30,00,-0.52133
2016,01,10,08,00,00,-0.714
2016,01,10,08,30,00,-0.12533
2016,01,10,09,00,00,-0.43125
2016,01,10,09,30,00,15.02364
2016,01,10,10,00,00,35.89433
2016,01,10,10,30,00,65.29733
2016,01,10,11,00,00,89.90267
2016,01,10,11,30,00,91.63967
2016,01,10,12,00,00,95.462
2016,01,10,12,30,00,102.23367
2016,01,10,13,00,00,95.838
2016,01,10,13,30,00,63.69367
2016,01,10,14,00,00,44.369
2016,01,10,14,30,00,26.79333
2016,01,10,15,00,00,11.6
2016,01,10,15,30,00,-0.4619
2016,01,10,16,00,00,-0.82621
2016,01,10,16,30,00,0.66862
2016,01,10,17,00,00,-0.13233
2016,01,10,17,30,00,-0.71407
2016,01,10,18,00,00,0.1112
2016,01,10,18,30,00,0.58621
2016,01,10,19,00,00,0.219
2016,01,10,19,30,00,-0.80367
2016,01,10,20,00,00,-0.80464
2016,01,10,20,30,00,-0.59367
2016,01,10,21,00,00,-0.35821
2016,01,10,21,30,00,-1.97143
2016,01,10,22,00,00,-1.74423
2016,01,10,22,30,00,-0.80926
2016,01,10,23,00,00,-1.82889
2016,01,10,23,30,00,-0.52955
2016,01,11,00,00,00,0.83077
2016,01,11,00,30,00,1.24609
2016,01,11,01,00,00,0.29
2016,01,11,01,30,00,0.45913
2016,01,11,02,00,00,0.4313
2016,01,11,02,30,00,-0.17095
2016,01,11,03,00,00,-0.35957
2016,01,11,03,30,00,-0.10893
2016,01,11,04,00,00,0.06565
2016,01,11,04,30,00,-0.15615
2016,01,11,05,00,00,-0.61095
2016,01,11,05,30,00,-1.77208
2016,01,11,06,00,00,0.7052
2016,01,11,06,30,00,-0.19857
2016,01,11,07,00,00,-0.8992
2016,01,11,07,30,00,-1.78071
2016,01,11,08,00,00,1.00353
2016,01,11,08,30,00,-0.54417
2016,01,11,09,00,00,-0.99609
2016,01,11,09,30,00,6.05182
2016,01,11,10,00,00,17.99267
2016,01,11,10,30,00,32.329
2016,01,11,11,00,00,57.73867
2016,01,11,11,30,00,70.117
2016,01,11,12,00,00,72.65167
2016,01,11,12,30,00,92.92867
2016,01,11,13,00,00,92.21
2016,01,11,13,30,00,77.768
2016,01,11,14,00,00,55.60367
2016,01,11,14,30,00,20.66833
2016,01,11,15,00,00,7.24885
2016,01,11,15,30,00,-0.25813
2016,01,11,16,00,00,0.85826
2016,01,11,16,30,00,-0.545
2016,01,11,17,00,00,0.33773
2016,01,11,17,30,00,-1.24682
2016,01,11,18,00,00,-0.245
2016,01,11,18,30,00,-2.25625
2016,01,11,19,00,00,-0.34893
2016,01,11,19,30,00,-0.56
2016,01,11,20,00,00,-1.4655
2016,01,11,20,30,00,-1.68565
2016,01,11,21,00,00,-0.85
2016,01,11,21,30,00,-2.02654
2016,01,11,22,00,00,-0.60667
2016,01,11,22,30,00,-2.24458
2016,01,11,23,00,00,-1.202
2016,01,11,23,30,00,-0.12577
2016,01,12,00,00,00,1.06636
2016,01,12,00,30,00,0.92217
2016,01,12,01,00,00,-1.53609
2016,01,12,01,30,00,-0.27304
2016,01,12,02,00,00,0.4524
2016,01,12,02,30,00,-1.79739
2016,01,12,03,00,00,-0.38846
2016,01,12,03,30,00,-1.93727
2016,01,12,04,00,00,0.62154
2016,01,12,04,30,00,0.0084
2016,01,12,05,00,00,-0.98038
2016,01,12,05,30,00,0.60391
2016,01,12,06,00,00,-1.75296
2016,01,12,06,30,00,0.2584
2016,01,12,07,00,00,-1.6664
2016,01,12,07,30,00,-1.2396
2016,01,12,08,00,00,-0.5824
2016,01,12,08,30,00,-0.63037
2016,01,12,09,00,00,-0.9835
2016,01,12,09,30,00,9.85214
2016,01,12,10,00,00,46.27933
2016,01,12,10,30,00,69.49467
2016,01,12,11,00,00,90.73533
2016,01,12,11,30,00,111.161
2016,01,12,12,00,00,91.535
2016,01,12,12,30,00,66.38033
2016,01,12,13,00,00,41.37633
2016,01,12,13,30,00,31.7869
2016,01,12,14,00,00,25.547
2016,01,12,14,30,00,16.97967
2016,01,12,15,00,00,7.91231
2016,01,12,15,30,00,-0.02381
2016,01,12,16,00,00,0.10773
2016,01,12,16,30,00,0.3436
2016,01,12,17,00,00,-0.87923
2016,01,12,17,30,00,0.70538
2016,01,12,18,00,00,-0.33889
2016,01,12,18,30,00,-0.95
2016,01,12,19,00,00,0.29182
2016,01,12,19,30,00,0.02522
2016,01,12,20,00,00,-1.11333
2016,01,12,20,30,00,0.1956
2016,01,12,21,00,00,-0.67087
2016,01,12,21,30,00,-0.3412
2016,01,12,22,00,00,0.2363
2016,01,12,22,30,00,0.9332
2016,01,12,23,00,00,-1.33818
2016,01,12,23,30,00,0.43647
2016,01,13,00,00,00,-0.70783
2016,01,13,00,30,00,-0.0631
2016,01,13,01,00,00,0.38357
2016,01,13,01,30,00,-1.1925
2016,01,13,02,00,00,-0.19739
2016,01,13,02,30,00,0.30292
2016,01,13,03,00,00,0.18857
2016,01,13,03,30,00,-1.33833
2016,01,13,04,00,00,-1.0548
2016,01,13,04,30,00,0.23235
2016,01,13,05,00,00,-0.17091
2016,01,13,05,30,00,0.16188
2016,01,13,06,00,00,-0.28333
2016,01,13,06,30,00,-0.2076
2016,01,13,07,00,00,-0.62833
2016,01,13,07,30,00,-0.25348
2016,01,13,08,00,00,0.22042
2016,01,13,08,30,00,0.0269
2016,01,13,09,00,00,0.75667
2016,01,13,09,30,00,9.31423
2016,01,13,10,00,00,22.86967
2016,01,13,10,30,00,36.41633
2016,01,13,11,00,00,46.312
2016,01,13,11,30,00,45.76867
2016,01,13,12,00,00,48.64133
2016,01,13,12,30,00,51.724
2016,01,13,13,00,00,42.58767
2016,01,13,13,30,00,37.799
2016,01,13,14,00,00,31.54433
2016,01,13,14,30,00,19.58133
2016,01,13,15,00,00,5.40069
2016,01,13,15,30,00,0.137
2016,01,13,16,00,00,0.2655
2016,01,13,16,30,00,-0.1168
2016,01,13,17,00,00,0.17727
2016,01,13,17,30,00,0.26826
2016,01,13,18,00,00,0.24737
2016,01,13,18,30,00,1.0732
2016,01,13,19,00,00,0.74
2016,01,13,19,30,00,1.02348
2016,01,13,20,00,00,-0.46773
2016,01,13,20,30,00,0.96923
2016,01,13,21,00,00,-0.45192
2016,01,13,21,30,00,-0.81125
2016,01,13,22,00,00,0.31292
2016,01,13,22,30,00,-1.3108
