Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2016,01,01,00,00,00,-0.007
2016,01,01,00,30,00,-0.007
2016,01,01,01,00,00,-0.006
2016,01,01,01,30,00,-0.003
2016,01,01,02,00,00,-0.00367
2016,01,01,02,30,00,-0.004
2016,01,01,03,00,00,-0.00233
2016,01,01,03,30,00,-0.006
2016,01,01,04,00,00,-0.005
2016,01,01,04,30,00,0
2016,01,01,05,00,00,-0.00433
2016,01,01,05,30,00,-0.003
2016,01,01,06,00,00,-0.00333
2016,01,01,06,30,00,-0.00069
2016,01,01,07,00,00,0.004
2016,01,01,07,30,00,0.006
2016,01,01,08,00,00,-0.00633
2016,01,01,08,30,00,-0.00533
2016,01,01,09,00,00,-0.004
2016,01,01,09,30,00,2.422
2016,01,01,10,00,00,7.051
2016,01,01,10,30,00,13.24367
2016,01,01,11,00,00,22.29067
2016,01,01,11,30,00,27.13767
2016,01,01,12,00,00,35.079
2016,01,01,12,30,00,30.05533
2016,01,01,13,00,00,22.64167
2016,01,01,13,30,00,20.349
2016,01,01,14,00,00,15.02267
2016,01,01,14,30,00,8.946
2016,01,01,15,00,00,2.60133
2016,01,01,15,30,00,0.00067
2016,01,01,16,00,00,-0.00167
2016,01,01,16,30,00,-0.016
2016,01,01,17,00,00,-0.001
2016,01,01,17,30,00,0.00667
2016,01,01,18,00,00,0.01333
2016,01,01,18,30,00,0.012
2016,01,01,19,00,00,0.00433
2016,01,01,19,30,00,0.01033
2016,01,01,20,00,00,0.00967
2016,01,01,20,30,00,0.00633
2016,01,01,21,00,00,-0.00333
2016,01,01,21,30,00,0.01467
2016,01,01,22,00,00,0.01667
2016,01,01,22,30,00,-0.00133
2016,01,01,23,00,00,-0.003
2016,01,01,23,30,00,-0.00433
2016,01,02,00,00,00,0.00467
2016,01,02,00,30,00,0.009
2016,01,02,01,00,00,0.003
2016,01,02,01,30,00,-0.00167
2016,01,02,02,00,00,0.00167
2016,01,02,02,30,00,-0.00133
2016,01,02,03,00,00,-0.00033
2016,01,02,03,30,00,0.003
2016,01,02,04,00,00,0.00533
2016,01,02,04,30,00,0.00167
2016,01,02,05,00,00,0.001
2016,01,02,05,30,00,0.006
2016,01,02,06,00,00,0.011
2016,01,02,06,30,00,0.00933
2016,01,02,07,00,00,-0.00133
2016,01,02,07,30,00,0.00633
2016,01,02,08,00,00,0.00233
2016,01,02,08,30,00,-0.00067
2016,01,02,09,00,00,0.89
2016,01,02,09,30,00,8.22241
2016,01,02,10,00,00,25.44933
2016,01,02,10,30,00,48.399
2016,01,02,11,00,00,62.206
2016,01,02,11,30,00,70.14633
2016,01,02,12,00,00,80.63133
2016,01,02,12,30,00,74.02533
2016,01,02,13,00,00,67.06333
2016,01,02,13,30,00,58.91
2016,01,02,14,00,00,46.865
2016,01,02,14,30,00,25.00633
2016,01,02,15,00,00,6.60733
2016,01,02,15,30,00,0.35867
2016,01,02,16,00,00,0.00467
2016,01,02,16,30,00,-0.00267
2016,01,02,17,00,00,-0.003
2016,01,02,17,30,00,0.003
2016,01,02,18,00,00,0.00567
2016,01,02,18,30,00,0.004
2016,01,02,19,00,00,-0.00133
2016,01,02,19,30,00,-0.001
2016,01,02,20,00,00,-0.00167
2016,01,02,20,30,00,0.00133
2016,01,02,21,00,00,-0
2016,01,02,21,30,00,-0.00867
2016,01,02,22,00,00,-0.00867
2016,01,02,22,30,00,-0.00733
2016,01,02,23,00,00,-0.002
2016,01,02,23,30,00,0.009
2016,01,03,00,00,00,0.009
2016,01,03,00,30,00,0.00533
2016,01,03,01,00,00,0.00067
2016,01,03,01,30,00,0.00333
2016,01,03,02,00,00,0.00133
2016,01,03,02,30,00,0.00367
2016,01,03,03,00,00,0.00333
2016,01,03,03,30,00,0.00233
2016,01,03,04,00,00,0.00367
2016,01,03,04,30,00,0.006
2016,01,03,05,00,00,0.006
2016,01,03,05,30,00,0.005
2016,01,03,06,00,00,0.007
2016,01,03,06,30,00,0.00633
2016,01,03,07,00,00,0.00467
2016,01,03,07,30,00,0.00367
2016,01,03,08,00,00,0.00333
2016,01,03,08,30,00,0.002
2016,01,03,09,00,00,0.00433
2016,01,03,09,30,00,0.53267
2016,01,03,10,00,00,2.762
2016,01,03,10,30,00,5.60733
2016,01,03,11,00,00,9.89433
2016,01,03,11,30,00,17.18567
2016,01,03,12,00,00,28.807
2016,01,03,12,30,00,32.17533
2016,01,03,13,00,00,27.63567
2016,01,03,13,30,00,23.00833
2016,01,03,14,00,00,21.85433
2016,01,03,14,30,00,14.12
2016,01,03,15,00,00,4.294
2016,01,03,15,30,00,0.13267
2016,01,03,16,00,00,0.00633
2016,01,03,16,30,00,0.00267
2016,01,03,17,00,00,0
2016,01,03,17,30,00,0.00067
2016,01,03,18,00,00,0.00067
2016,01,03,18,30,00,0
2016,01,03,19,00,00,0
2016,01,03,19,30,00,0.00067
2016,01,03,20,00,00,0.00133
2016,01,03,20,30,00,0
2016,01,03,21,00,00,0.004
2016,01,03,21,30,00,0.00067
2016,01,03,22,00,00,0.00367
2016,01,03,22,30,00,0.00133
2016,01,03,23,00,00,0
2016,01,03,23,30,00,0.00067
2016,01,04,00,00,00,0.004
2016,01,04,00,30,00,0.004
2016,01,04,01,00,00,0.002
2016,01,04,01,30,00,0.00133
2016,01,04,02,00,00,0.00233
2016,01,04,02,30,00,0.00067
2016,01,04,03,00,00,0.00133
2016,01,04,03,30,00,0.00133
2016,01,04,04,00,00,0.004
2016,01,04,04,30,00,0.00833
2016,01,04,05,00,00,0.00367
2016,01,04,05,30,00,0.00133
2016,01,04,06,00,00,0.00133
2016,01,04,06,30,00,0
2016,01,04,07,00,00,0.00167
2016,01,04,07,30,00,0.00067
2016,01,04,08,00,00,0.00367
2016,01,04,08,30,00,0.00133
2016,01,04,09,00,00,1.01167
2016,01,04,09,30,00,9.337
2016,01,04,10,00,00,25.95467
2016,01,04,10,30,00,41.25467
2016,01,04,11,00,00,60.453
2016,01,04,11,30,00,70.50567
2016,01,04,12,00,00,84.80867
2016,01,04,12,30,00,87.83033
2016,01,04,13,00,00,84.417
2016,01,04,13,30,00,60.73433
2016,01,04,14,00,00,43.953
2016,01,04,14,30,00,22.32733
2016,01,04,15,00,00,5.76933
2016,01,04,15,30,00,0.26033
2016,01,04,16,00,00,0
2016,01,04,16,30,00,0.00067
2016,01,04,17,00,00,0.003
2016,01,04,17,30,00,0.00133
2016,01,04,18,00,00,0.004
2016,01,04,18,30,00,0.00069
2016,01,04,19,00,00,0.00733
2016,01,04,19,30,00,0.00133
2016,01,04,20,00,00,0.00267
2016,01,04,20,30,00,0.00067
2016,01,04,21,00,00,0.00067
2016,01,04,21,30,00,0.00067
2016,01,04,22,00,00,0.00167
2016,01,04,22,30,00,0.00067
2016,01,04,23,00,00,0.00833
2016,01,04,23,30,00,0.004
2016,01,05,00,00,00,-0.009
2016,01,05,00,30,00,0.001
2016,01,05,01,00,00,0.01033
2016,01,05,01,30,00,-0.008
2016,01,05,02,00,00,-0.004
2016,01,05,02,30,00,-0.005
2016,01,05,03,00,00,0.002
2016,01,05,03,30,00,-0.006
2016,01,05,04,00,00,-0.001
2016,01,05,04,30,00,-0.007
2016,01,05,05,00,00,-0.007
2016,01,05,05,30,00,-0.007
2016,01,05,06,00,00,-0.007
2016,01,05,06,30,00,-0.003
2016,01,05,07,00,00,0.008
2016,01,05,07,30,00,-0.004
2016,01,05,08,00,00,-0.009
2016,01,05,08,30,00,-0.004
2016,01,05,09,00,00,0.898
2016,01,05,09,30,00,8.28633
2016,01,05,10,00,00,24.6269
2016,01,05,10,30,00,44.40333
2016,01,05,11,00,00,60.96733
2016,01,05,11,30,00,71.88433
2016,01,05,12,00,00,78.413
2016,01,05,12,30,00,77.40467
2016,01,05,13,00,00,73.07267
2016,01,05,13,30,00,63.069
2016,01,05,14,00,00,46.34433
2016,01,05,14,30,00,25.68033
2016,01,05,15,00,00,8.594
2016,01,05,15,30,00,0.69067
2016,01,05,16,00,00,-0.002
2016,01,05,16,30,00,-0.007
2016,01,05,17,00,00,-0.007
2016,01,05,17,30,00,-0.004
2016,01,05,18,00,00,-0.003
2016,01,05,18,30,00,0.003
2016,01,05,19,00,00,-0.006
2016,01,05,19,30,00,-0.005
2016,01,05,20,00,00,-0.007
2016,01,05,20,30,00,-0.009
2016,01,05,21,00,00,-0.01067
2016,01,05,21,30,00,-0.01
2016,01,05,22,00,00,-0.007
2016,01,05,22,30,00,-0.002
2016,01,05,23,00,00,-0.004
2016,01,05,23,30,00,-0.00133
2016,01,06,00,00,00,-0.001
2016,01,06,00,30,00,-0.004
2016,01,06,01,00,00,-0.01
2016,01,06,01,30,00,-0
2016,01,06,02,00,00,0.00833
2016,01,06,02,30,00,0.006
2016,01,06,03,00,00,0.00667
2016,01,06,03,30,00,0.00067
2016,01,06,04,00,00,-0.00633
2016,01,06,04,30,00,-0.01034
2016,01,06,05,00,00,-0.01433
2016,01,06,05,30,00,-0.00533
2016,01,06,06,00,00,-0.00433
2016,01,06,06,30,00,-0
2016,01,06,07,00,00,-0.006
2016,01,06,07,30,00,-0.00367
2016,01,06,08,00,00,0.00333
2016,01,06,08,30,00,0.00867
2016,01,06,09,00,00,1.43833
2016,01,06,09,30,00,11.30767
2016,01,06,10,00,00,29.44333
2016,01,06,10,30,00,48.51733
2016,01,06,11,00,00,63.951
2016,01,06,11,30,00,74.39067
2016,01,06,12,00,00,81.62233
2016,01,06,12,30,00,80.50667
2016,01,06,13,00,00,77.829
2016,01,06,13,30,00,67.228
2016,01,06,14,00,00,48.93667
2016,01,06,14,30,00,28.59733
2016,01,06,15,00,00,10.076
