Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2016,01,01,00,00,00,86.13467
2016,01,01,00,30,00,86.16467
2016,01,01,01,00,00,87.03267
2016,01,01,01,30,00,87.55967
2016,01,01,02,00,00,87.03467
2016,01,01,02,30,00,84.96967
2016,01,01,03,00,00,82.742
2016,01,01,03,30,00,80.10333
2016,01,01,04,00,00,80.10833
2016,01,01,04,30,00,80.82633
2016,01,01,05,00,00,80.88567
2016,01,01,05,30,00,80.95133
2016,01,01,06,00,00,81.22233
2016,01,01,06,30,00,82.121
2016,01,01,07,00,00,83.03633
2016,01,01,07,30,00,82.73233
2016,01,01,08,00,00,82.91633
2016,01,01,08,30,00,82.28833
2016,01,01,09,00,00,80.55033
2016,01,01,09,30,00,81.55633
2016,01,01,10,00,00,81.65633
2016,01,01,10,30,00,82.55533
2016,01,01,11,00,00,81.57367
2016,01,01,11,30,00,82.144
2016,01,01,12,00,00,80.80267
2016,01,01,12,30,00,80.95233
2016,01,01,13,00,00,82.44633
2016,01,01,13,30,00,82.02033
2016,01,01,14,00,00,80.72233
2016,01,01,14,30,00,79.61667
2016,01,01,15,00,00,79.285
2016,01,01,15,30,00,80.28267
2016,01,01,16,00,00,79.36333
2016,01,01,16,30,00,78.69167
2016,01,01,17,00,00,80.13
2016,01,01,17,30,00,83.46
2016,01,01,18,00,00,86.95033
2016,01,01,18,30,00,90.018
2016,01,01,19,00,00,91.88733
2016,01,01,19,30,00,92.597
2016,01,01,20,00,00,93.66867
2016,01,01,20,30,00,93.29733
2016,01,01,21,00,00,92.69867
2016,01,01,21,30,00,92.071
2016,01,01,22,00,00,91.465
2016,01,01,22,30,00,91.33367
2016,01,01,23,00,00,91.25733
2016,01,01,23,30,00,91.21433
2016,01,02,00,00,00,91.54167
2016,01,02,00,30,00,91.309
2016,01,02,01,00,00,91.03433
2016,01,02,01,30,00,91.17233
2016,01,02,02,00,00,90.92633
2016,01,02,02,30,00,90.70967
2016,01,02,03,00,00,90.61067
2016,01,02,03,30,00,90.36
2016,01,02,04,00,00,90.78
2016,01,02,04,30,00,90.045
2016,01,02,05,00,00,91.24467
2016,01,02,05,30,00,91.55767
2016,01,02,06,00,00,91.56833
2016,01,02,06,30,00,90.93033
2016,01,02,07,00,00,90.905
2016,01,02,07,30,00,90.57333
2016,01,02,08,00,00,90.50967
2016,01,02,08,30,00,90.34833
2016,01,02,09,00,00,90.46233
2016,01,02,09,30,00,90.36433
2016,01,02,10,00,00,90.62367
2016,01,02,10,30,00,90.66133
2016,01,02,11,00,00,90.624
2016,01,02,11,30,00,90.92467
2016,01,02,12,00,00,90.846
2016,01,02,12,30,00,90.84267
2016,01,02,13,00,00,90.48
2016,01,02,13,30,00,89.819
2016,01,02,14,00,00,90.11833
2016,01,02,14,30,00,89.871
2016,01,02,15,00,00,89.64
2016,01,02,15,30,00,89.727
2016,01,02,16,00,00,89.70667
2016,01,02,16,30,00,90.21167
2016,01,02,17,00,00,90.242
2016,01,02,17,30,00,90.076
2016,01,02,18,00,00,89.967
2016,01,02,18,30,00,89.09167
2016,01,02,19,00,00,89.47733
2016,01,02,19,30,00,89.00033
2016,01,02,20,00,00,88.03667
2016,01,02,20,30,00,89.10433
2016,01,02,21,00,00,88.606
2016,01,02,21,30,00,88.652
2016,01,02,22,00,00,89.50233
2016,01,02,22,30,00,89.70667
2016,01,02,23,00,00,90.04667
2016,01,02,23,30,00,89.914
2016,01,03,00,00,00,90.00033
2016,01,03,00,30,00,90.704
2016,01,03,01,00,00,91.04167
2016,01,03,01,30,00,90.118
2016,01,03,02,00,00,89.38167
2016,01,03,02,30,00,89.639
2016,01,03,03,00,00,89.79433
2016,01,03,03,30,00,90.232
2016,01,03,04,00,00,90.43133
2016,01,03,04,30,00,90.58833
2016,01,03,05,00,00,90.69933
2016,01,03,05,30,00,90.416
2016,01,03,06,00,00,90.017
2016,01,03,06,30,00,90.024
