Year,Month,Day,Hour,Minute,Second,HYY_META.diffGLOB
2008,07,01,00,00,00,0.72967
2008,07,01,00,30,00,-0.43667
2008,07,01,01,00,00,-0.43667
2008,07,01,01,30,00,0.16333
2008,07,01,02,00,00,0.66533
2008,07,01,02,30,00,2.34
2008,07,01,03,00,00,7.08867
2008,07,01,03,30,00,22.866
2008,07,01,04,00,00,25.81433
2008,07,01,04,30,00,29.75767
2008,07,01,05,00,00,47.194
2008,07,01,05,30,00,42.88133
2008,07,01,06,00,00,62.60733
2008,07,01,06,30,00,61.67767
2008,07,01,07,00,00,60.61967
2008,07,01,07,30,00,72.87
2008,07,01,08,00,00,149.25967
2008,07,01,08,30,00,256.56733
2008,07,01,09,00,00,318.717
2008,07,01,09,30,00,309.10567
2008,07,01,10,00,00,251.81767
2008,07,01,10,30,00,261.64103
2008,07,01,11,00,00,290.298
2008,07,01,11,30,00,308.19267
2008,07,01,12,00,00,356.23897
2008,07,01,12,30,00,372.906
2008,07,01,13,00,00,249.03067
2008,07,01,13,30,00,243.734
2008,07,01,14,00,00,164.19071
2008,07,01,14,30,00,125.574
2008,07,01,15,00,00,211.01467
2008,07,01,15,30,00,151.38233
2008,07,01,16,00,00,93.39367
2008,07,01,16,30,00,106.807
2008,07,01,17,00,00,115.77933
2008,07,01,17,30,00,143.68167
2008,07,01,18,00,00,126.19933
2008,07,01,18,30,00,79.66367
2008,07,01,19,00,00,68.38933
2008,07,01,19,30,00,78.94133
2008,07,01,20,00,00,55.614
2008,07,01,20,30,00,32.56433
2008,07,01,21,00,00,18.594
2008,07,01,21,30,00,9.84233
2008,07,01,22,00,00,3.71233
2008,07,01,22,30,00,1.587
2008,07,01,23,00,00,0.67833
2008,07,01,23,30,00,0.005
2008,07,02,00,00,00,-0.706
2008,07,02,00,30,00,-1.03867
2008,07,02,01,00,00,-0.254
2008,07,02,01,30,00,2.092
2008,07,02,02,00,00,2.534
2008,07,02,02,30,00,3.622
2008,07,02,03,00,00,5.594
2008,07,02,03,30,00,10.37967
2008,07,02,04,00,00,23.527
2008,07,02,04,30,00,37.76067
2008,07,02,05,00,00,46.80067
2008,07,02,05,30,00,55.52367
2008,07,02,06,00,00,64.50433
2008,07,02,06,30,00,59.953
2008,07,02,07,00,00,43.03533
2008,07,02,07,30,00,49.71967
2008,07,02,08,00,00,40.78367
2008,07,02,08,30,00,47.09967
2008,07,02,09,00,00,122.515
2008,07,02,09,30,00,181.06467
2008,07,02,10,00,00,266.869
2008,07,02,10,30,00,287.92
2008,07,02,11,00,00,200.466
2008,07,02,11,30,00,214.67667
2008,07,02,12,00,00,349.444
2008,07,02,12,30,00,221.08367
2008,07,02,13,00,00,382.663
2008,07,02,13,30,00,253.93333
2008,07,02,14,00,00,173.284
2008,07,02,14,30,00,123.911
2008,07,02,15,00,00,168.00867
2008,07,02,15,30,00,177.53333
2008,07,02,16,00,00,189.58633
2008,07,02,16,30,00,195.613
2008,07,02,17,00,00,119.864
2008,07,02,17,30,00,142.18533
2008,07,02,18,00,00,117.238
2008,07,02,18,30,00,59.70633
2008,07,02,19,00,00,34.89667
2008,07,02,19,30,00,41.28267
2008,07,02,20,00,00,22.89667
2008,07,02,20,30,00,13.349
2008,07,02,21,00,00,6.499
2008,07,02,21,30,00,7.22533
2008,07,02,22,00,00,4.025
2008,07,02,22,30,00,1.83333
2008,07,02,23,00,00,1.59767
2008,07,02,23,30,00,0.688
2008,07,03,00,00,00,0.05567
2008,07,03,00,30,00,-0.315
2008,07,03,01,00,00,-0.172
2008,07,03,01,30,00,0.06433
2008,07,03,02,00,00,0.77133
2008,07,03,02,30,00,3.223
2008,07,03,03,00,00,12.58367
2008,07,03,03,30,00,18.971
2008,07,03,04,00,00,25.02567
2008,07,03,04,30,00,33.99833
2008,07,03,05,00,00,25.51533
2008,07,03,05,30,00,39.73233
2008,07,03,06,00,00,107.37033
2008,07,03,06,30,00,203.74167
2008,07,03,07,00,00,160.803
2008,07,03,07,30,00,198.933
2008,07,03,08,00,00,238.29567
2008,07,03,08,30,00,258.42533
2008,07,03,09,00,00,313.33
