Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2008,07,01,00,00,00,-0.28
2008,07,01,00,30,00,-1.016
2008,07,01,01,00,00,-0.744
2008,07,01,01,30,00,-0.088
2008,07,01,02,00,00,0.104
2008,07,01,02,30,00,2.2
2008,07,01,03,00,00,8.056
2008,07,01,03,30,00,26.248
2008,07,01,04,00,00,35.56
2008,07,01,04,30,00,89.007
2008,07,01,05,00,00,139.938
2008,07,01,05,30,00,192.357
2008,07,01,06,00,00,267.516
2008,07,01,06,30,00,317.32833
2008,07,01,07,00,00,370.55
2008,07,01,07,30,00,434.937
2008,07,01,08,00,00,367.573
2008,07,01,08,30,00,327.08833
2008,07,01,09,00,00,370.66033
2008,07,01,09,30,00,482.687
2008,07,01,10,00,00,418.02567
2008,07,01,10,30,00,333.63533
2008,07,01,11,00,00,337.42467
2008,07,01,11,30,00,312.078
2008,07,01,12,00,00,360.325
2008,07,01,12,30,00,419.04933
2008,07,01,13,00,00,245.86867
2008,07,01,13,30,00,325.13867
2008,07,01,14,00,00,234.714
2008,07,01,14,30,00,132.242
2008,07,01,15,00,00,335.555
2008,07,01,15,30,00,387.19067
2008,07,01,16,00,00,398.64667
2008,07,01,16,30,00,147.34833
2008,07,01,17,00,00,114.226
2008,07,01,17,30,00,285.34167
2008,07,01,18,00,00,231.578
2008,07,01,18,30,00,217.95933
2008,07,01,19,00,00,158.08533
2008,07,01,19,30,00,83.922
2008,07,01,20,00,00,56.56867
2008,07,01,20,30,00,32.632
2008,07,01,21,00,00,17.784
2008,07,01,21,30,00,10.408
2008,07,01,22,00,00,5.576
2008,07,01,22,30,00,3
2008,07,01,23,00,00,2.456
2008,07,01,23,30,00,1.24
2008,07,02,00,00,00,-0.958
2008,07,02,00,30,00,0.082
2008,07,02,01,00,00,0.306
2008,07,02,01,30,00,0.882
2008,07,02,02,00,00,1.266
2008,07,02,02,30,00,2.738
2008,07,02,03,00,00,5.362
2008,07,02,03,30,00,11.282
2008,07,02,04,00,00,26.034
2008,07,02,04,30,00,40.706
2008,07,02,05,00,00,49.922
2008,07,02,05,30,00,64.37
2008,07,02,06,00,00,68.258
2008,07,02,06,30,00,59.97
2008,07,02,07,00,00,42.578
2008,07,02,07,30,00,49.986
