Year,Month,Day,Hour,Minute,Second,HYY_META.PAR2
2019,01,01,00,00,00,0
2019,01,01,00,30,00,0
2019,01,01,01,00,00,0
2019,01,01,01,30,00,0
2019,01,01,02,00,00,0
2019,01,01,02,30,00,0
2019,01,01,03,00,00,0
2019,01,01,03,30,00,0
2019,01,01,04,00,00,0
2019,01,01,04,30,00,0
2019,01,01,05,00,00,0
2019,01,01,05,30,00,0
2019,01,01,06,00,00,0
2019,01,01,06,30,00,0
2019,01,01,07,00,00,0
2019,01,01,07,30,00,0
2019,01,01,08,00,00,0
2019,01,01,08,30,00,0
2019,01,01,09,00,00,0
2019,01,01,09,30,00,0.54756
2019,01,01,10,00,00,3.32222
2019,01,01,10,30,00,10.41317
2019,01,01,11,00,00,19.93367
2019,01,01,11,30,00,23.764
2019,01,01,12,00,00,25.47067
2019,01,01,12,30,00,18.02878
2019,01,01,13,00,00,9.9585
2019,01,01,13,30,00,4.37772
2019,01,01,14,00,00,2.8615
2019,01,01,14,30,00,7.86383
2019,01,01,15,00,00,2.4845
2019,01,01,15,30,00,0
2019,01,01,16,00,00,0
2019,01,01,16,30,00,0
2019,01,01,17,00,00,0
2019,01,01,17,30,00,0
2019,01,01,18,00,00,0
2019,01,01,18,30,00,0
2019,01,01,19,00,00,0
2019,01,01,19,30,00,0
2019,01,01,20,00,00,0
2019,01,01,20,30,00,0
2019,01,01,21,00,00,0
2019,01,01,21,30,00,0
2019,01,01,22,00,00,0
2019,01,01,22,30,00,0
2019,01,01,23,00,00,0
2019,01,01,23,30,00,0
2019,01,02,00,00,00,0
2019,01,02,00,30,00,0
2019,01,02,01,00,00,0
2019,01,02,01,30,00,0
2019,01,02,02,00,00,0
2019,01,02,02,30,00,0
2019,01,02,03,00,00,0
2019,01,02,03,30,00,0
2019,01,02,04,00,00,0
2019,01,02,04,30,00,0
2019,01,02,05,00,00,0
2019,01,02,05,30,00,0
2019,01,02,06,00,00,0
2019,01,02,06,30,00,0
2019,01,02,07,00,00,0
2019,01,02,07,30,00,0
2019,01,02,08,00,00,0
2019,01,02,08,30,00,0
2019,01,02,09,00,00,0.13717
2019,01,02,09,30,00,7.13461
2019,01,02,10,00,00,20.42511
2019,01,02,10,30,00,30.25672
2019,01,02,11,00,00,53.21789
2019,01,02,11,30,00,62.78389
2019,01,02,12,00,00,57.46667
2019,01,02,12,30,00,47.78472
2019,01,02,13,00,00,47.24722
2019,01,02,13,30,00,64.57589
2019,01,02,14,00,00,45.907
2019,01,02,14,30,00,24.71961
2019,01,02,15,00,00,6.83144
2019,01,02,15,30,00,0.1725
2019,01,02,16,00,00,0
2019,01,02,16,30,00,0
2019,01,02,17,00,00,0
2019,01,02,17,30,00,0
2019,01,02,18,00,00,0
2019,01,02,18,30,00,0
2019,01,02,19,00,00,0
2019,01,02,19,30,00,0
2019,01,02,20,00,00,0
2019,01,02,20,30,00,0
2019,01,02,21,00,00,0
2019,01,02,21,30,00,0
2019,01,02,22,00,00,0
2019,01,02,22,30,00,0
2019,01,02,23,00,00,0
2019,01,02,23,30,00,0
2019,01,03,00,00,00,0
2019,01,03,00,30,00,0
2019,01,03,01,00,00,0
2019,01,03,01,30,00,0
2019,01,03,02,00,00,0
2019,01,03,02,30,00,0
2019,01,03,03,00,00,0
2019,01,03,03,30,00,0
2019,01,03,04,00,00,0
2019,01,03,04,30,00,0
2019,01,03,05,00,00,0
2019,01,03,05,30,00,0
2019,01,03,06,00,00,0
2019,01,03,06,30,00,0
2019,01,03,07,00,00,0
2019,01,03,07,30,00,0
2019,01,03,08,00,00,0
2019,01,03,08,30,00,0
2019,01,03,09,00,00,0.75933
2019,01,03,09,30,00,10.507
2019,01,03,10,00,00,32.46756
2019,01,03,10,30,00,59.86161
2019,01,03,11,00,00,84.25244
2019,01,03,11,30,00,106.24105
2019,01,03,12,00,00,120.36961
2019,01,03,12,30,00,124.08806
2019,01,03,13,00,00,97.6355
2019,01,03,13,30,00,79.76739
2019,01,03,14,00,00,58.1545
2019,01,03,14,30,00,30.13778
2019,01,03,15,00,00,8.35022
2019,01,03,15,30,00,0.29867
2019,01,03,16,00,00,0
