Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2019,01,01,00,00,00,0
2019,01,01,00,30,00,0
2019,01,01,01,00,00,0
2019,01,01,01,30,00,0
2019,01,01,02,00,00,0
2019,01,01,02,30,00,0
2019,01,01,03,00,00,0
2019,01,01,03,30,00,0
2019,01,01,04,00,00,0
2019,01,01,04,30,00,0
2019,01,01,05,00,00,0
2019,01,01,05,30,00,0
2019,01,01,06,00,00,0
2019,01,01,06,30,00,0
2019,01,01,07,00,00,0
2019,01,01,07,30,00,0
2019,01,01,08,00,00,0
2019,01,01,08,30,00,0
2019,01,01,09,00,00,0
2019,01,01,09,30,00,0.37517
2019,01,01,10,00,00,2.97311
2019,01,01,10,30,00,10.24144
2019,01,01,11,00,00,19.92239
2019,01,01,11,30,00,23.76089
2019,01,01,12,00,00,25.46978
2019,01,01,12,30,00,18.00822
2019,01,01,13,00,00,9.74078
2019,01,01,13,30,00,3.75561
2019,01,01,14,00,00,2.09917
2019,01,01,14,30,00,6.428
2019,01,01,15,00,00,1.89306
2019,01,01,15,30,00,0
2019,01,01,16,00,00,0
2019,01,01,16,30,00,0
2019,01,01,17,00,00,0
2019,01,01,17,30,00,0
2019,01,01,18,00,00,0
2019,01,01,18,30,00,0
2019,01,01,19,00,00,0
2019,01,01,19,30,00,0
2019,01,01,20,00,00,0
2019,01,01,20,30,00,0
2019,01,01,21,00,00,0
2019,01,01,21,30,00,0
2019,01,01,22,00,00,0
2019,01,01,22,30,00,0
2019,01,01,23,00,00,0
2019,01,01,23,30,00,0
2019,01,02,00,00,00,0
2019,01,02,00,30,00,0
2019,01,02,01,00,00,0
2019,01,02,01,30,00,0
2019,01,02,02,00,00,0
2019,01,02,02,30,00,0
2019,01,02,03,00,00,0
2019,01,02,03,30,00,0
2019,01,02,04,00,00,0
2019,01,02,04,30,00,0
2019,01,02,05,00,00,0
2019,01,02,05,30,00,0
2019,01,02,06,00,00,0
2019,01,02,06,30,00,0
2019,01,02,07,00,00,0
2019,01,02,07,30,00,0
2019,01,02,08,00,00,0
2019,01,02,08,30,00,0
2019,01,02,09,00,00,0.07222
2019,01,02,09,30,00,6.94839
2019,01,02,10,00,00,20.39828
2019,01,02,10,30,00,30.25306
2019,01,02,11,00,00,53.21789
2019,01,02,11,30,00,62.78389
2019,01,02,12,00,00,57.46667
2019,01,02,12,30,00,47.77478
2019,01,02,13,00,00,47.23256
2019,01,02,13,30,00,51.65044
2019,01,02,14,00,00,37.762
2019,01,02,14,30,00,22.37456
2019,01,02,15,00,00,6.50006
2019,01,02,15,30,00,0.10617
2019,01,02,16,00,00,0
2019,01,02,16,30,00,0
2019,01,02,17,00,00,0
2019,01,02,17,30,00,0
2019,01,02,18,00,00,0
2019,01,02,18,30,00,0
2019,01,02,19,00,00,0
2019,01,02,19,30,00,0
2019,01,02,20,00,00,0
2019,01,02,20,30,00,0
2019,01,02,21,00,00,0
2019,01,02,21,30,00,0
2019,01,02,22,00,00,0
2019,01,02,22,30,00,0
2019,01,02,23,00,00,0
2019,01,02,23,30,00,0
2019,01,03,00,00,00,0
2019,01,03,00,30,00,0
2019,01,03,01,00,00,0
2019,01,03,01,30,00,0
2019,01,03,02,00,00,0
2019,01,03,02,30,00,0
2019,01,03,03,00,00,0
2019,01,03,03,30,00,0
2019,01,03,04,00,00,0
2019,01,03,04,30,00,0
2019,01,03,05,00,00,0
2019,01,03,05,30,00,0
2019,01,03,06,00,00,0
2019,01,03,06,30,00,0
2019,01,03,07,00,00,0
2019,01,03,07,30,00,0
2019,01,03,08,00,00,0
2019,01,03,08,30,00,0
2019,01,03,09,00,00,0.63472
2019,01,03,09,30,00,10.09406
2019,01,03,10,00,00,27.56344
2019,01,03,10,30,00,44.9685
2019,01,03,11,00,00,57.86456
2019,01,03,11,30,00,68.67689
2019,01,03,12,00,00,76.895
2019,01,03,12,30,00,80.95272
2019,01,03,13,00,00,66.62694
2019,01,03,13,30,00,57.5765
2019,01,03,14,00,00,45.3735
2019,01,03,14,30,00,26.59289
2019,01,03,15,00,00,8.07322
2019,01,03,15,30,00,0.20578
2019,01,03,16,00,00,0
