Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,01,00,00,00,100
2019,01,01,00,30,00,100
2019,01,01,01,00,00,100
2019,01,01,01,30,00,100
2019,01,01,02,00,00,100
2019,01,01,02,30,00,100
2019,01,01,03,00,00,100
2019,01,01,03,30,00,100
2019,01,01,04,00,00,100
2019,01,01,04,30,00,100
2019,01,01,05,00,00,100
2019,01,01,05,30,00,100
2019,01,01,06,00,00,100
2019,01,01,06,30,00,100
2019,01,01,07,00,00,100
2019,01,01,07,30,00,100
2019,01,01,08,00,00,100
2019,01,01,08,30,00,100
2019,01,01,09,00,00,100
2019,01,01,09,30,00,100
2019,01,01,10,00,00,100
2019,01,01,10,30,00,100
2019,01,01,11,00,00,100
2019,01,01,11,30,00,100
2019,01,01,12,00,00,100
2019,01,01,12,30,00,100
2019,01,01,13,00,00,100
2019,01,01,13,30,00,100
2019,01,01,14,00,00,100
2019,01,01,14,30,00,100
2019,01,01,15,00,00,100
2019,01,01,15,30,00,100
2019,01,01,16,00,00,100
2019,01,01,16,30,00,100
2019,01,01,17,00,00,100
2019,01,01,17,30,00,100
2019,01,01,18,00,00,100
2019,01,01,18,30,00,100
2019,01,01,19,00,00,100
2019,01,01,19,30,00,100
2019,01,01,20,00,00,100
2019,01,01,20,30,00,100
2019,01,01,21,00,00,100
2019,01,01,21,30,00,100
2019,01,01,22,00,00,100
2019,01,01,22,30,00,100
2019,01,01,23,00,00,100
2019,01,01,23,30,00,99.92742
2019,01,02,00,00,00,99.43081
2019,01,02,00,30,00,99.48106
2019,01,02,01,00,00,98.05297
2019,01,02,01,30,00,97.53483
2019,01,02,02,00,00,96.82703
2019,01,02,02,30,00,96.84272
2019,01,02,03,00,00,97.11836
2019,01,02,03,30,00,96.50497
2019,01,02,04,00,00,96.33864
2019,01,02,04,30,00,95.81558
2019,01,02,05,00,00,95.78872
2019,01,02,05,30,00,94.63775
2019,01,02,06,00,00,94.26353
2019,01,02,06,30,00,94.35306
2019,01,02,07,00,00,94.06417
2019,01,02,07,30,00,94.04758
2019,01,02,08,00,00,93.83381
2019,01,02,08,30,00,93.78667
2019,01,02,09,00,00,93.7922
2019,01,02,09,30,00,93.39042
2019,01,02,10,00,00,92.83383
2019,01,02,10,30,00,92.29556
2019,01,02,11,00,00,91.41614
2019,01,02,11,30,00,91.13969
2019,01,02,12,00,00,91.10208
2019,01,02,12,30,00,89.92925
2019,01,02,13,00,00,87.71767
2019,01,02,13,30,00,87.05064
2019,01,02,14,00,00,86.59739
2019,01,02,14,30,00,87.77111
2019,01,02,15,00,00,89.58658
2019,01,02,15,30,00,90.32856
2019,01,02,16,00,00,90.38814
2019,01,02,16,30,00,90.30856
2019,01,02,17,00,00,89.75781
2019,01,02,17,30,00,89.61428
2019,01,02,18,00,00,89.18214
2019,01,02,18,30,00,89.752
2019,01,02,19,00,00,90.26806
2019,01,02,19,30,00,90.90264
2019,01,02,20,00,00,90.86969
2019,01,02,20,30,00,90.79872
2019,01,02,21,00,00,90.92753
2019,01,02,21,30,00,90.94275
2019,01,02,22,00,00,90.0865
2019,01,02,22,30,00,89.61797
2019,01,02,23,00,00,89.03886
2019,01,02,23,30,00,89.1728
2019,01,03,00,00,00,89.01889
2019,01,03,00,30,00,89.39614
2019,01,03,01,00,00,89.95831
2019,01,03,01,30,00,89.718
2019,01,03,02,00,00,90.09872
2019,01,03,02,30,00,91.00153
2019,01,03,03,00,00,91.00592
2019,01,03,03,30,00,91.01867
2019,01,03,04,00,00,91.10467
2019,01,03,04,30,00,91.31536
2019,01,03,05,00,00,91.60739
2019,01,03,05,30,00,91.71617
2019,01,03,06,00,00,91.78675
2019,01,03,06,30,00,91.81175
2019,01,03,07,00,00,91.78283
2019,01,03,07,30,00,91.63217
2019,01,03,08,00,00,91.45611
2019,01,03,08,30,00,91.52497
2019,01,03,09,00,00,91.49486
2019,01,03,09,30,00,91.37039
2019,01,03,10,00,00,91.02039
2019,01,03,10,30,00,90.84025
2019,01,03,11,00,00,90.97567
2019,01,03,11,30,00,91.14772
2019,01,03,12,00,00,91.11794
2019,01,03,12,30,00,90.70428
2019,01,03,13,00,00,90.38906
2019,01,03,13,30,00,90.49086
2019,01,03,14,00,00,90.13544
2019,01,03,14,30,00,89.75989
2019,01,03,15,00,00,91.65953
2019,01,03,15,30,00,92.12278
2019,01,03,16,00,00,92.85186
2019,01,03,16,30,00,93.46486
2019,01,03,17,00,00,93.01261
2019,01,03,17,30,00,92.32725
2019,01,03,18,00,00,92.11789
2019,01,03,18,30,00,92.46144
2019,01,03,19,00,00,91.76583
2019,01,03,19,30,00,92.29603
2019,01,03,20,00,00,92.25161
2019,01,03,20,30,00,91.40836
2019,01,03,21,00,00,89.34761
2019,01,03,21,30,00,88.10286
2019,01,03,22,00,00,87.55914
2019,01,03,22,30,00,86.59647
2019,01,03,23,00,00,89.8795
