Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2019,01,01,00,00,00,-0.888
2019,01,01,00,30,00,-0.738
2019,01,01,01,00,00,-0.596
2019,01,01,01,30,00,-0.46967
2019,01,01,02,00,00,-0.39333
2019,01,01,02,30,00,-0.34667
2019,01,01,03,00,00,-0.30333
2019,01,01,03,30,00,-0.288
2019,01,01,04,00,00,-0.28033
2019,01,01,04,30,00,-0.28267
2019,01,01,05,00,00,-0.26533
2019,01,01,05,30,00,-0.277
2019,01,01,06,00,00,-0.25633
2019,01,01,06,30,00,-0.23267
2019,01,01,07,00,00,-0.22467
2019,01,01,07,30,00,-0.22767
2019,01,01,08,00,00,-0.22333
2019,01,01,08,30,00,-0.21167
2019,01,01,09,00,00,-0.18333
2019,01,01,09,30,00,-0.185
2019,01,01,10,00,00,-0.18267
2019,01,01,10,30,00,-0.189
2019,01,01,11,00,00,-0.193
2019,01,01,11,30,00,-0.186
2019,01,01,12,00,00,-0.183
2019,01,01,12,30,00,-0.17533
2019,01,01,13,00,00,-0.176
2019,01,01,13,30,00,-0.17233
2019,01,01,14,00,00,-0.15967
2019,01,01,14,30,00,-0.175
2019,01,01,15,00,00,-0.19667
2019,01,01,15,30,00,-0.202
2019,01,01,16,00,00,-0.20333
2019,01,01,16,30,00,-0.229
2019,01,01,17,00,00,-0.25833
2019,01,01,17,30,00,-0.29467
2019,01,01,18,00,00,-0.293
2019,01,01,18,30,00,-0.28667
2019,01,01,19,00,00,-0.303
2019,01,01,19,30,00,-0.35733
2019,01,01,20,00,00,-0.422
2019,01,01,20,30,00,-0.465
2019,01,01,21,00,00,-0.48133
2019,01,01,21,30,00,-0.51567
2019,01,01,22,00,00,-0.55067
2019,01,01,22,30,00,-0.58633
2019,01,01,23,00,00,-0.65233
2019,01,01,23,30,00,-0.667
2019,01,02,00,00,00,-0.888
2019,01,02,00,30,00,-1.64
2019,01,02,01,00,00,-2.75133
2019,01,02,01,30,00,-3.53
2019,01,02,02,00,00,-4.30233
2019,01,02,02,30,00,-4.54267
2019,01,02,03,00,00,-4.45167
2019,01,02,03,30,00,-4.374
2019,01,02,04,00,00,-4.41033
2019,01,02,04,30,00,-4.68567
2019,01,02,05,00,00,-5.08533
2019,01,02,05,30,00,-5.50733
2019,01,02,06,00,00,-5.876
2019,01,02,06,30,00,-6.17467
