Year,Month,Day,Hour,Minute,Second,HYY_META.tsoil_A
2019,01,01,00,00,00,1.059
2019,01,01,00,30,00,1.049
2019,01,01,01,00,00,1.0595
2019,01,01,01,30,00,1.048
2019,01,01,02,00,00,1.0515
2019,01,01,02,30,00,1.05
2019,01,01,03,00,00,1.0375
2019,01,01,03,30,00,1.0415
2019,01,01,04,00,00,1.045
2019,01,01,04,30,00,1.0485
2019,01,01,05,00,00,1.045
2019,01,01,05,30,00,1.0385
2019,01,01,06,00,00,1.045
2019,01,01,06,30,00,1.046
2019,01,01,07,00,00,1.0375
2019,01,01,07,30,00,1.0435
2019,01,01,08,00,00,1.0425
2019,01,01,08,30,00,1.0485
2019,01,01,09,00,00,1.0535
2019,01,01,09,30,00,1.045
2019,01,01,10,00,00,1.0425
2019,01,01,10,30,00,1.051
2019,01,01,11,00,00,1.05
2019,01,01,11,30,00,1.046
2019,01,01,12,00,00,1.05
2019,01,01,12,30,00,1.0485
2019,01,01,13,00,00,1.054
2019,01,01,13,30,00,1.045
2019,01,01,14,00,00,1.0475
2019,01,01,14,30,00,1.0565
2019,01,01,15,00,00,1.0525
2019,01,01,15,30,00,1.059
2019,01,01,16,00,00,1.0535
2019,01,01,16,30,00,1.055
2019,01,01,17,00,00,1.054
2019,01,01,17,30,00,1.056
2019,01,01,18,00,00,1.0625
2019,01,01,18,30,00,1.0715
2019,01,01,19,00,00,1.06
2019,01,01,19,30,00,1.0555
2019,01,01,20,00,00,1.0765
2019,01,01,20,30,00,1.0775
2019,01,01,21,00,00,1.08
2019,01,01,21,30,00,1.078
2019,01,01,22,00,00,1.0815
2019,01,01,22,30,00,1.0885
2019,01,01,23,00,00,1.087
2019,01,01,23,30,00,1.0915
2019,01,02,00,00,00,1.095
2019,01,02,00,30,00,1.1015
2019,01,02,01,00,00,1.109
2019,01,02,01,30,00,1.1175
2019,01,02,02,00,00,1.131
2019,01,02,02,30,00,1.141
2019,01,02,03,00,00,1.145
2019,01,02,03,30,00,1.1495
2019,01,02,04,00,00,1.1525
2019,01,02,04,30,00,1.156
2019,01,02,05,00,00,1.1615
2019,01,02,05,30,00,1.165
2019,01,02,06,00,00,1.176
2019,01,02,06,30,00,1.18
2019,01,02,07,00,00,1.183
2019,01,02,07,30,00,1.1875
2019,01,02,08,00,00,1.189
2019,01,02,08,30,00,1.1925
2019,01,02,09,00,00,1.1975
2019,01,02,09,30,00,1.1975
2019,01,02,10,00,00,1.2
2019,01,02,10,30,00,1.2025
2019,01,02,11,00,00,1.21
2019,01,02,11,30,00,1.213
2019,01,02,12,00,00,1.22
2019,01,02,12,30,00,1.209
2019,01,02,13,00,00,1.2225
2019,01,02,13,30,00,1.2205
2019,01,02,14,00,00,1.22
2019,01,02,14,30,00,1.231
2019,01,02,15,00,00,1.2225
2019,01,02,15,30,00,1.221
2019,01,02,16,00,00,1.2355
2019,01,02,16,30,00,1.225
2019,01,02,17,00,00,1.23
2019,01,02,17,30,00,1.235
2019,01,02,18,00,00,1.2335
2019,01,02,18,30,00,1.229
2019,01,02,19,00,00,1.2395
2019,01,02,19,30,00,1.2425
2019,01,02,20,00,00,1.2425
2019,01,02,20,30,00,1.24
2019,01,02,21,00,00,1.235
2019,01,02,21,30,00,1.238
2019,01,02,22,00,00,1.235
2019,01,02,22,30,00,1.2425
2019,01,02,23,00,00,1.237
2019,01,02,23,30,00,1.231
2019,01,03,00,00,00,1.237
2019,01,03,00,30,00,1.232
2019,01,03,01,00,00,1.232
2019,01,03,01,30,00,1.2385
2019,01,03,02,00,00,1.235
2019,01,03,02,30,00,1.232
2019,01,03,03,00,00,1.2425
2019,01,03,03,30,00,1.2435
2019,01,03,04,00,00,1.232
2019,01,03,04,30,00,1.2315
2019,01,03,05,00,00,1.231
2019,01,03,05,30,00,1.232
2019,01,03,06,00,00,1.231
2019,01,03,06,30,00,1.2345
2019,01,03,07,00,00,1.2325
2019,01,03,07,30,00,1.23
2019,01,03,08,00,00,1.231
2019,01,03,08,30,00,1.2285
2019,01,03,09,00,00,1.219
2019,01,03,09,30,00,1.219
2019,01,03,10,00,00,1.225
2019,01,03,10,30,00,1.2285
2019,01,03,11,00,00,1.215
2019,01,03,11,30,00,1.215
2019,01,03,12,00,00,1.2175
2019,01,03,12,30,00,1.223
2019,01,03,13,00,00,1.2265
2019,01,03,13,30,00,1.219
2019,01,03,14,00,00,1.2135
2019,01,03,14,30,00,1.2135
2019,01,03,15,00,00,1.215
2019,01,03,15,30,00,1.2075
2019,01,03,16,00,00,1.203
2019,01,03,16,30,00,1.2
2019,01,03,17,00,00,1.1925
2019,01,03,17,30,00,1.1855
2019,01,03,18,00,00,1.1855
2019,01,03,18,30,00,1.183
2019,01,03,19,00,00,1.184
2019,01,03,19,30,00,1.1885
2019,01,03,20,00,00,1.19
2019,01,03,20,30,00,1.19
2019,01,03,21,00,00,1.2085
2019,01,03,21,30,00,1.21
2019,01,03,22,00,00,1.204
2019,01,03,22,30,00,1.2065
2019,01,03,23,00,00,1.2
2019,01,03,23,30,00,1.208
2019,01,04,00,00,00,1.2165
2019,01,04,00,30,00,1.211
2019,01,04,01,00,00,1.2005
2019,01,04,01,30,00,1.2015
2019,01,04,02,00,00,1.203
2019,01,04,02,30,00,1.1985
2019,01,04,03,00,00,1.1955
2019,01,04,03,30,00,1.1955
2019,01,04,04,00,00,1.1965
2019,01,04,04,30,00,1.185
2019,01,04,05,00,00,1.1865
2019,01,04,05,30,00,1.1835
2019,01,04,06,00,00,1.1785
2019,01,04,06,30,00,1.176
2019,01,04,07,00,00,1.174
2019,01,04,07,30,00,1.1665
2019,01,04,08,00,00,1.164
2019,01,04,08,30,00,1.1585
2019,01,04,09,00,00,1.1595
2019,01,04,09,30,00,1.1535
2019,01,04,10,00,00,1.146
2019,01,04,10,30,00,1.1415
2019,01,04,11,00,00,1.141
2019,01,04,11,30,00,1.134
2019,01,04,12,00,00,1.124
2019,01,04,12,30,00,1.112
2019,01,04,13,00,00,1.11
2019,01,04,13,30,00,1.107
2019,01,04,14,00,00,1.1025
2019,01,04,14,30,00,1.106
2019,01,04,15,00,00,1.111
2019,01,04,15,30,00,1.109
2019,01,04,16,00,00,1.11
2019,01,04,16,30,00,1.1065
2019,01,04,17,00,00,1.11
2019,01,04,17,30,00,1.1125
2019,01,04,18,00,00,1.112
2019,01,04,18,30,00,1.124
2019,01,04,19,00,00,1.124
2019,01,04,19,30,00,1.126
2019,01,04,20,00,00,1.131
2019,01,04,20,30,00,1.13
2019,01,04,21,00,00,1.131
2019,01,04,21,30,00,1.131
2019,01,04,22,00,00,1.131
2019,01,04,22,30,00,1.139
2019,01,04,23,00,00,1.142
2019,01,04,23,30,00,1.146
2019,01,05,00,00,00,1.15
2019,01,05,00,30,00,1.15
2019,01,05,01,00,00,1.1585
2019,01,05,01,30,00,1.153
2019,01,05,02,00,00,1.159
2019,01,05,02,30,00,1.163
2019,01,05,03,00,00,1.17
2019,01,05,03,30,00,1.1685
2019,01,05,04,00,00,1.175
2019,01,05,04,30,00,1.1725
2019,01,05,05,00,00,1.1775
2019,01,05,05,30,00,1.175
2019,01,05,06,00,00,1.175
2019,01,05,06,30,00,1.171
2019,01,05,07,00,00,1.1915
2019,01,05,07,30,00,1.1785
2019,01,05,08,00,00,1.185
2019,01,05,08,30,00,1.1925
2019,01,05,09,00,00,1.1915
2019,01,05,09,30,00,1.1905
2019,01,05,10,00,00,1.1915
2019,01,05,10,30,00,1.1955
2019,01,05,11,00,00,1.1915
2019,01,05,11,30,00,1.188
2019,01,05,12,00,00,1.1915
2019,01,05,12,30,00,1.1785
2019,01,05,13,00,00,1.183
2019,01,05,13,30,00,1.179
2019,01,05,14,00,00,1.18
2019,01,05,14,30,00,1.1865
2019,01,05,15,00,00,1.179
2019,01,05,15,30,00,1.1775
2019,01,05,16,00,00,1.1815
2019,01,05,16,30,00,1.185
2019,01,05,17,00,00,1.183
2019,01,05,17,30,00,1.181
2019,01,05,18,00,00,1.1785
2019,01,05,18,30,00,1.1885
2019,01,05,19,00,00,1.1745
2019,01,05,19,30,00,1.1785
2019,01,05,20,00,00,1.1785
2019,01,05,20,30,00,1.1785
2019,01,05,21,00,00,1.181
2019,01,05,21,30,00,1.1835
2019,01,05,22,00,00,1.1785
2019,01,05,22,30,00,1.1815
2019,01,05,23,00,00,1.1815
2019,01,05,23,30,00,1.177
2019,01,06,00,00,00,1.18
2019,01,06,00,30,00,1.177
2019,01,06,01,00,00,1.179
2019,01,06,01,30,00,1.174
2019,01,06,02,00,00,1.1735
2019,01,06,02,30,00,1.169
2019,01,06,03,00,00,1.17
2019,01,06,03,30,00,1.17
2019,01,06,04,00,00,1.166
2019,01,06,04,30,00,1.167
2019,01,06,05,00,00,1.1665
2019,01,06,05,30,00,1.1625
2019,01,06,06,00,00,1.1675
2019,01,06,06,30,00,1.164
2019,01,06,07,00,00,1.164
2019,01,06,07,30,00,1.16
2019,01,06,08,00,00,1.157
2019,01,06,08,30,00,1.1585
2019,01,06,09,00,00,1.151
2019,01,06,09,30,00,1.15
2019,01,06,10,00,00,1.1525
2019,01,06,10,30,00,1.1475
2019,01,06,11,00,00,1.156
2019,01,06,11,30,00,1.146
2019,01,06,12,00,00,1.1415
2019,01,06,12,30,00,1.145
2019,01,06,13,00,00,1.141
2019,01,06,13,30,00,1.1395
2019,01,06,14,00,00,1.142
2019,01,06,14,30,00,1.145
2019,01,06,15,00,00,1.1425
2019,01,06,15,30,00,1.1465
2019,01,06,16,00,00,1.145
2019,01,06,16,30,00,1.14
2019,01,06,17,00,00,1.1335
2019,01,06,17,30,00,1.1285
2019,01,06,18,00,00,1.129
2019,01,06,18,30,00,1.125
2019,01,06,19,00,00,1.1215
2019,01,06,19,30,00,1.129
2019,01,06,20,00,00,1.125
2019,01,06,20,30,00,1.1275
2019,01,06,21,00,00,1.123
2019,01,06,21,30,00,1.1215
2019,01,06,22,00,00,1.125
2019,01,06,22,30,00,1.115
2019,01,06,23,00,00,1.1165
2019,01,06,23,30,00,1.115
2019,01,07,00,00,00,1.1075
2019,01,07,00,30,00,1.116
2019,01,07,01,00,00,1.11
2019,01,07,01,30,00,1.1235
2019,01,07,02,00,00,1.117
2019,01,07,02,30,00,1.118
2019,01,07,03,00,00,1.105
2019,01,07,03,30,00,1.105
2019,01,07,04,00,00,1.098
2019,01,07,04,30,00,1.104
2019,01,07,05,00,00,1.1
2019,01,07,05,30,00,1.109
2019,01,07,06,00,00,1.1025
2019,01,07,06,30,00,1.104
2019,01,07,07,00,00,1.109
2019,01,07,07,30,00,1.1015
2019,01,07,08,00,00,1.1125
2019,01,07,08,30,00,1.1025
2019,01,07,09,00,00,1.1125
2019,01,07,09,30,00,1.113
2019,01,07,10,00,00,1.1165
2019,01,07,10,30,00,1.118
2019,01,07,11,00,00,1.109
2019,01,07,11,30,00,1.1165
2019,01,07,12,00,00,1.12
2019,01,07,12,30,00,1.115
2019,01,07,13,00,00,1.1135
2019,01,07,13,30,00,1.1265
2019,01,07,14,00,00,1.131
2019,01,07,14,30,00,1.125
2019,01,07,15,00,00,1.14
2019,01,07,15,30,00,1.1425
2019,01,07,16,00,00,1.139
2019,01,07,16,30,00,1.1435
2019,01,07,17,00,00,1.1425
2019,01,07,17,30,00,1.1425
2019,01,07,18,00,00,1.144
2019,01,07,18,30,00,1.14
2019,01,07,19,00,00,1.1475
2019,01,07,19,30,00,1.15
2019,01,07,20,00,00,1.1535
2019,01,07,20,30,00,1.1625
