Year,Month,Day,Hour,Minute,Second,HYY_EDDYMAST.u_star_270
2019,01,01,00,00,00,NaN
2019,01,01,00,30,00,NaN
2019,01,01,01,00,00,NaN
2019,01,01,01,30,00,NaN
2019,01,01,02,00,00,NaN
2019,01,01,02,30,00,NaN
2019,01,01,03,00,00,NaN
2019,01,01,03,30,00,NaN
2019,01,01,04,00,00,NaN
2019,01,01,04,30,00,NaN
2019,01,01,05,00,00,NaN
2019,01,01,05,30,00,NaN
2019,01,01,06,00,00,NaN
2019,01,01,06,30,00,NaN
2019,01,01,07,00,00,NaN
2019,01,01,07,30,00,NaN
2019,01,01,08,00,00,NaN
2019,01,01,08,30,00,NaN
2019,01,01,09,00,00,NaN
2019,01,01,09,30,00,NaN
2019,01,01,10,00,00,NaN
2019,01,01,10,30,00,NaN
2019,01,01,11,00,00,NaN
2019,01,01,11,30,00,NaN
2019,01,01,12,00,00,NaN
2019,01,01,12,30,00,NaN
2019,01,01,13,00,00,NaN
2019,01,01,13,30,00,NaN
2019,01,01,14,00,00,NaN
2019,01,01,14,30,00,NaN
2019,01,01,15,00,00,NaN
2019,01,01,15,30,00,NaN
2019,01,01,16,00,00,NaN
2019,01,01,16,30,00,NaN
2019,01,01,17,00,00,NaN
2019,01,01,17,30,00,NaN
2019,01,01,18,00,00,NaN
2019,01,01,18,30,00,NaN
2019,01,01,19,00,00,NaN
2019,01,01,19,30,00,NaN
2019,01,01,20,00,00,NaN
2019,01,01,20,30,00,NaN
2019,01,01,21,00,00,NaN
2019,01,01,21,30,00,NaN
2019,01,01,22,00,00,NaN
2019,01,01,22,30,00,NaN
2019,01,01,23,00,00,NaN
2019,01,01,23,30,00,NaN
2019,01,02,00,00,00,NaN
2019,01,02,00,30,00,NaN
2019,01,02,01,00,00,NaN
2019,01,02,01,30,00,NaN
2019,01,02,02,00,00,NaN
2019,01,02,02,30,00,NaN
2019,01,02,03,00,00,NaN
2019,01,02,03,30,00,1.35141
2019,01,02,04,00,00,1.16824
2019,01,02,04,30,00,1.306
2019,01,02,05,00,00,1.22796
2019,01,02,05,30,00,NaN
2019,01,02,06,00,00,NaN
2019,01,02,06,30,00,NaN
2019,01,02,07,00,00,NaN
2019,01,02,07,30,00,NaN
2019,01,02,08,00,00,1.0394
2019,01,02,08,30,00,1.18289
2019,01,02,09,00,00,1.19716
2019,01,02,09,30,00,1.16789
2019,01,02,10,00,00,1.12205
2019,01,02,10,30,00,1.09307
2019,01,02,11,00,00,1.1177
2019,01,02,11,30,00,1.12814
2019,01,02,12,00,00,0.91383
2019,01,02,12,30,00,0.92269
2019,01,02,13,00,00,NaN
2019,01,02,13,30,00,NaN
2019,01,02,14,00,00,NaN
2019,01,02,14,30,00,0.84568
2019,01,02,15,00,00,0.83192
2019,01,02,15,30,00,NaN
2019,01,02,16,00,00,0.59156
2019,01,02,16,30,00,0.26616
2019,01,02,17,00,00,0.18207
2019,01,02,17,30,00,0.32054
2019,01,02,18,00,00,NaN
2019,01,02,18,30,00,NaN
2019,01,02,19,00,00,NaN
2019,01,02,19,30,00,NaN
2019,01,02,20,00,00,NaN
2019,01,02,20,30,00,NaN
2019,01,02,21,00,00,NaN
2019,01,02,21,30,00,NaN
2019,01,02,22,00,00,NaN
2019,01,02,22,30,00,NaN
2019,01,02,23,00,00,NaN
2019,01,02,23,30,00,NaN
2019,01,03,00,00,00,NaN
2019,01,03,00,30,00,NaN
2019,01,03,01,00,00,NaN
2019,01,03,01,30,00,NaN
2019,01,03,02,00,00,NaN
2019,01,03,02,30,00,NaN
2019,01,03,03,00,00,NaN
2019,01,03,03,30,00,0.24459
2019,01,03,04,00,00,0.52744
2019,01,03,04,30,00,0.59076
2019,01,03,05,00,00,0.48732
2019,01,03,05,30,00,0.55695
2019,01,03,06,00,00,0.50493
2019,01,03,06,30,00,0.58212
2019,01,03,07,00,00,0.47306
2019,01,03,07,30,00,0.52426
2019,01,03,08,00,00,0.5218
2019,01,03,08,30,00,0.5665
2019,01,03,09,00,00,0.56806
2019,01,03,09,30,00,0.43171
2019,01,03,10,00,00,0.47316
2019,01,03,10,30,00,0.39496
2019,01,03,11,00,00,0.36236
2019,01,03,11,30,00,0.39429
2019,01,03,12,00,00,0.33869
2019,01,03,12,30,00,0.34392
2019,01,03,13,00,00,0.32186
2019,01,03,13,30,00,0.33434
2019,01,03,14,00,00,0.25896
2019,01,03,14,30,00,0.09667
2019,01,03,15,00,00,0.12353
2019,01,03,15,30,00,0.07816
